idx,ep,t,category,exec_sem,grid_t2_max_js,grid_t1_max_js,ball_js,opp_js,opp_rel_bg,score_js,ablation_zero_js
0,0,55,decision,STAY,0.1496,0.0553,0.1201,0.0004,0.0004,0.0004,0.0038
1,0,58,decision,STAY,0.4526,0.5657,0.476,0.0001,0.0001,0.0025,0.0144
2,0,136,decision,STAY,0.1457,0.0325,0.1022,0.0002,0.0002,0.0008,0.0363
3,0,236,decision,STAY,0.8865,0.9916,0.6446,0.0001,0.0001,0.0002,0.0093
4,0,316,decision,STAY,0.1202,0.0197,0.0886,0.0004,0.0004,0.0002,0.0263
5,0,424,decision,STAY,0.174,0.0776,0.2507,0.0,0.0,0.0,0.0792
6,0,496,decision,STAY,0.094,0.0132,0.1432,0.0001,0.0001,0.0008,0.0808
7,0,653,decision,STAY,0.2393,0.2016,0.2092,0.0052,0.0052,0.009,0.0283
8,0,133,decision,UP,0.7696,0.9611,0.4588,0.0001,0.0001,0.0001,0.0047
9,0,165,decision,UP,0.8251,0.984,0.3359,0.0,0.0,0.0001,0.0043
10,0,237,decision,UP,0.1359,0.0421,0.0942,0.0016,0.0016,0.0001,0.0109
11,0,495,decision,UP,0.7062,0.9228,0.1503,0.0005,0.0005,0.0001,0.1994
12,0,573,decision,UP,0.1479,0.063,0.0738,0.0001,0.0001,0.0001,0.0753
13,0,648,decision,UP,0.6638,0.8467,0.1724,0.0004,0.0004,0.0001,0.0271
14,0,681,decision,UP,0.7771,0.9675,0.533,0.0003,0.0003,0.0001,0.001
15,0,906,decision,UP,0.5249,0.5965,0.143,0.0002,0.0002,0.0001,0.0301
16,0,134,decision,DOWN,0.5138,0.6421,0.3866,0.0001,0.0001,0.0,0.0884
17,0,235,decision,DOWN,0.438,0.5571,0.4473,0.0,0.0,0.0017,0.0105
18,0,313,decision,DOWN,0.6987,0.8723,0.6583,0.0,0.0,0.0003,0.0011
19,0,314,decision,DOWN,0.8245,0.9659,0.8851,0.0,0.0,0.0001,0.0001
20,0,317,decision,DOWN,0.4013,0.643,0.3057,0.0094,0.0094,0.0508,0.0696
21,0,494,decision,DOWN,0.8429,0.9827,0.7733,0.0001,0.0001,0.0004,0.0
22,0,571,decision,DOWN,0.7647,0.9354,0.7131,0.0,0.0,0.0002,0.0006
23,0,572,decision,DOWN,0.8462,0.9761,0.913,0.0,0.0,0.0002,0.0001
24,0,45,defensive,DOWN,0.3004,0.5831,0.0245,0.0067,0.0067,0.2902,0.005
25,0,46,defensive,DOWN,0.0541,0.0609,0.0152,0.0135,0.0135,0.0167,0.033
26,0,47,defensive,UP,0.0242,0.0928,0.0035,0.0194,0.0194,0.0576,0.0235
27,0,49,defensive,UP,0.1161,0.1262,0.0109,0.0124,0.0124,0.0009,0.0027
28,0,51,defensive,DOWN,0.8207,0.9797,0.3541,0.0002,0.0002,0.8603,0.0
29,0,122,defensive,DOWN,0.0227,0.0461,0.0241,0.0035,0.0035,0.0129,0.0018
30,0,125,defensive,STAY,0.1107,0.1782,0.1276,0.0081,0.0081,0.0192,0.0016
31,0,127,defensive,DOWN,0.3559,0.3431,0.3668,0.0004,0.0004,0.0,0.0653
32,0,128,defensive,DOWN,0.2547,0.2333,0.2371,0.0,0.0,0.001,0.0459
33,0,129,defensive,DOWN,0.3332,0.5639,0.188,0.0019,0.0019,0.001,0.0935
34,0,16,opp_side,STAY,0.3992,0.7688,0.3929,0.0049,0.0049,0.0099,0.0141
35,0,18,opp_side,UP,0.1651,0.4596,0.1615,0.0001,0.0001,0.0114,0.0074
36,0,19,opp_side,UP,0.0728,0.2557,0.0727,0.0001,0.0001,0.0136,0.0182
37,0,20,opp_side,UP,0.0541,0.1584,0.0992,0.0022,0.0022,0.0115,0.0237
38,0,21,opp_side,UP,0.0646,0.2223,0.0709,0.0031,0.0031,0.0045,0.0604
39,0,23,opp_side,DOWN,0.0243,0.0971,0.0157,0.0023,0.0023,0.0038,0.0478
40,0,25,opp_side,UP,0.4668,0.8627,0.1642,0.0038,0.0038,0.005,0.0039
41,0,27,opp_side,UP,0.2205,0.5222,0.1321,0.0023,0.0023,0.0052,0.0181
42,0,32,opp_side,UP,0.0125,0.0357,0.013,0.0047,0.0047,0.0288,0.0423
43,0,34,opp_side,STAY,0.0402,0.1137,0.0416,0.004,0.004,0.0227,0.0099
44,0,37,opp_side,DOWN,0.0976,0.2828,0.0997,0.0277,0.0277,0.0299,0.0002
45,0,38,opp_side,STAY,0.0565,0.1863,0.0834,0.0169,0.0169,0.0084,0.0065
46,0,76,score_restart,DOWN,0.1058,0.236,0.1233,0.0006,0.0006,0.0049,0.0327
47,0,92,score_restart,STAY,0.1149,0.277,0.1192,0.0007,0.0007,0.0019,0.0243
48,0,256,score_restart,DOWN,0.092,0.1933,0.0379,0.0034,0.0034,0.0025,0.0156
49,0,436,score_restart,DOWN,0.0539,0.1525,0.0082,0.0229,0.0229,0.1438,0.0465
50,0,453,score_restart,DOWN,0.0468,0.1522,0.0822,0.0231,0.0231,0.0022,0.0021
51,0,514,score_restart,DOWN,0.1328,0.3018,0.039,0.004,0.004,0.0011,0.0097
52,0,40,opp_side,UP,0.1168,0.3256,0.1236,0.0052,0.0052,0.0517,0.0309
53,0,42,opp_side,STAY,0.1874,0.46,0.1103,0.0007,0.0007,0.1651,0.0557
54,0,60,opp_side,DOWN,0.122,0.051,0.2531,0.0001,0.0001,0.0,0.0177
55,0,61,opp_side,STAY,0.6839,0.9713,0.6946,0.0016,0.0016,0.0034,0.0154
56,0,62,opp_side,DOWN,0.0523,0.0165,0.024,0.0181,0.0181,0.0318,0.2197
57,0,63,opp_side,UP,0.0842,0.1461,0.0981,0.0012,0.0012,0.001,0.151
58,0,64,opp_side,STAY,0.037,0.133,0.0183,0.0004,0.0004,0.0059,0.0064
59,0,65,opp_side,STAY,0.0304,0.082,0.0302,0.0009,0.0009,0.0018,0.0227
60,0,70,opp_side,UP,0.0279,0.1025,0.023,0.0055,0.0055,0.0108,0.0816
61,0,71,opp_side,STAY,0.079,0.2256,0.0666,0.0021,0.0021,0.0035,0.0508
62,0,72,opp_side,UP,0.0705,0.2599,0.0084,0.0024,0.0024,0.0065,0.0099
63,0,74,opp_side,DOWN,0.2158,0.469,0.1421,0.0057,0.0057,0.0339,0.0042
64,0,75,ordinary,STAY,0.3962,0.7896,0.2797,0.2752,0.2752,0.0198,0.0117
65,0,77,ordinary,STAY,0.0329,0.0367,,0.0062,0.0062,0.0314,0.156
66,0,78,ordinary,STAY,0.2464,0.5282,,0.0046,0.0046,0.0123,0.061
